user_id,order_id,skill_name,correct
745Yh,1927,Calculate unit rate,1
745Yh,1931,Calculate unit rate,0
745Yh,1947,Calculate unit rate,0
745Yh,1948,Calculate unit rate,1
745Yh,1963,Calculate unit rate,0
745Yh,1966,Calculate unit rate,1
745Yh,1978,Calculate unit rate,1
745Yh,1981,Calculate unit rate,1
745Yh,1997,Calculate unit rate,1
745Yh,1998,Calculate unit rate,1
3cjD21W,5289,Calculate unit rate,1
3cjD21W,5300,Calculate unit rate,0
3cjD21W,5312,Calculate unit rate,0
3cjD21W,5318,Calculate unit rate,0
3cjD21W,5332,Calculate unit rate,0
3cjD21W,5335,Calculate unit rate,0
3cjD21W,5351,Calculate unit rate,1
3cjD21W,5352,Calculate unit rate,1
3cjD21W,5366,Calculate unit rate,1
3cjD21W,5369,Calculate unit rate,1
3cjD21W,5381,Calculate part in proportion with fractions,1
3cjD21W,5394,Calculate total in proportion with fractions,0
3cjD21W,5406,Calculate total in proportion with fractions,1
3cjD21W,5419,Calculate part in proportion with fractions,0
3cjD21W,5432,Calculate part in proportion with fractions,0
3cjD21W,5444,Calculate part in proportion with fractions,1
3cjD21W,5458,Calculate total in proportion with fractions,0
3cjD21W,5471,Calculate total in proportion with fractions,0
3cjD21W,5483,Calculate total in proportion with fractions,1
3cjD21W,5495,Calculate part in proportion with fractions,1
3cjD21W,5507,Calculate total in proportion with fractions,0
3cjD21W,5519,Calculate total in proportion with fractions,0
3cjD21W,5531,Calculate total in proportion with fractions,1
3cjD21W,5544,Calculate part in proportion with fractions,1
3cjD21W,5556,Calculate total in proportion with fractions,1
3cjD21W,5568,Calculate part in proportion with fractions,0
3cjD21W,7765,Plot whole number,1
3cjD21W,7773,Plot terminating proper fraction,0
3cjD21W,7774,Plot imperfect radical,1
3cjD21W,7775,Plot terminating proper fraction,1
3cjD21W,7776,Plot non-terminating improper fraction,1
3cjD21W,7782,Plot pi,1
3cjD21W,7785,Plot terminating proper fraction,0
3cjD21W,7788,Plot decimal - thousandths,0
3cjD21W,7790,Plot terminating proper fraction,1
3cjD21W,7791,Plot whole number,1
3cjD21W,7794,Plot decimal - thousandths,0
3cjD21W,7795,Plot non-terminating improper fraction,0
3cjD21W,7796,Plot imperfect radical,1
3cjD21W,7797,Plot non-terminating improper fraction,1
3cjD21W,7815,Plot decimal - thousandths,0
3cjD21W,7816,Plot terminating proper fraction,1
3cjD21W,10617,"Finding the intersection, SIF",1
3cjD21W,10642,"Finding the intersection, Mixed",0
3cjD21W,10670,"Finding the intersection, Mixed",1
3cjD21W,10707,"Finding the intersection, GLF",0
3cjD21W,10750,"Finding the intersection, GLF",0
3cjD21W,10753,"Finding the intersection, GLF",0
3cjD21W,10772,"Finding the intersection, GLF",1
3cjD21W,10796,"Finding the intersection, Mixed",1
3cjD21W,10816,"Finding the intersection, GLF",1
3cjD21W,10832,"Finding the intersection, SIF",1
4gJnw14,12464,Calculate unit rate,1
4gJnw14,12471,Calculate unit rate,0
4gJnw14,12482,Calculate unit rate,0
4gJnw14,12488,Calculate unit rate,0
4gJnw14,12500,Calculate unit rate,1
4gJnw14,12503,Calculate unit rate,1
4gJnw14,12522,Calculate unit rate,0
4gJnw14,12523,Calculate unit rate,0
4gJnw14,12539,Calculate unit rate,0
4gJnw14,12541,Calculate unit rate,0
4gJnw14,12557,Calculate unit rate,0
4gJnw14,12559,Calculate unit rate,0
4gJnw14,12575,Calculate unit rate,0
4gJnw14,12577,Calculate unit rate,0
4gJnw14,12593,Calculate unit rate,1
4gJnw14,12594,Calculate unit rate,1
4gJnw14,12610,Calculate unit rate,1
4gJnw14,12611,Calculate unit rate,0
4gJnw14,12623,Calculate unit rate,0
4gJnw14,12629,Calculate unit rate,0
4gJnw14,12645,Calculate unit rate,0
4gJnw14,12647,Calculate unit rate,0
4gJnw14,12663,Calculate unit rate,1
4gJnw14,12665,Calculate unit rate,0
4gJnw14,12681,Calculate unit rate,0
4gJnw14,12683,Calculate unit rate,0
4gJnw14,12699,Calculate unit rate,1
4gJnw14,12700,Calculate unit rate,1
4gJnw14,12716,Calculate unit rate,1
4gJnw14,12718,Calculate unit rate,0
4gJnw14,12733,Calculate part in proportion with fractions,0
4gJnw14,12746,Calculate part in proportion with fractions,1
4gJnw14,12759,Calculate total in proportion with fractions,0
4gJnw14,12767,Calculate total in proportion with fractions,1
4gJnw14,12785,Calculate part in proportion with fractions,0
4gJnw14,12798,Calculate part in proportion with fractions,1
6zkEsmR,15947,Calculate unit rate,1
6zkEsmR,15957,Calculate unit rate,0
6zkEsmR,15965,Calculate unit rate,1
6zkEsmR,15976,Calculate unit rate,0
6zkEsmR,15985,Calculate unit rate,0
6zkEsmR,15994,Calculate unit rate,0
6zkEsmR,16003,Calculate unit rate,0
6zkEsmR,16012,Calculate unit rate,0
6zkEsmR,16028,Calculate unit rate,0
6zkEsmR,16030,Calculate unit rate,0
6zkEsmR,16037,Calculate unit rate,1
6zkEsmR,16047,Calculate unit rate,1
6zkEsmR,16056,Calculate unit rate,0
6zkEsmR,16064,Calculate unit rate,1
6zkEsmR,16073,Calculate unit rate,1
6zkEsmR,16081,Calculate unit rate,1
6zkEsmR,16090,Calculate part in proportion with fractions,0
6zkEsmR,16093,Calculate part in proportion with fractions,1
6zkEsmR,16108,Calculate part in proportion with fractions,1
6zkEsmR,16120,Calculate total in proportion with fractions,1
6zkEsmR,16133,Calculate part in proportion with fractions,1
6zkEsmR,16145,Calculate total in proportion with fractions,0
6zkEsmR,16157,Calculate part in proportion with fractions,0
6zkEsmR,16169,Calculate total in proportion with fractions,1
6zkEsmR,16181,Calculate part in proportion with fractions,1
6zkEsmR,16193,Calculate total in proportion with fractions,1
6zkEsmR,16205,Calculate part in proportion with fractions,1
6zkEsmR,16217,Calculate total in proportion with fractions,1
6zkEsmR,16230,Calculate part in proportion with fractions,0
6zkEsmR,16242,Calculate part in proportion with fractions,1
6zkEsmR,16254,Calculate total in proportion with fractions,1
6zkEsmR,16267,Calculate total in proportion with fractions,0
6zkEsmR,16279,Calculate part in proportion with fractions,1
8EWewH7,19162,Calculate unit rate,1
8EWewH7,19173,Calculate unit rate,0
8EWewH7,19189,Calculate unit rate,0
8EWewH7,19190,Calculate unit rate,0
8EWewH7,19199,Calculate unit rate,1
8EWewH7,19205,Calculate unit rate,1
8EWewH7,19216,Calculate unit rate,1
8EWewH7,19222,Calculate unit rate,1
