student_id,biweek_of_year,hours,student_type
0,0,39.91550683333163,3
0,1,32.35608236377897,3
0,2,17.456691786389506,3
0,3,16.012725462056416,3
0,4,15.85981168812618,3
0,5,12.644833677986629,3
0,6,10.235804189347272,3
0,7,10.357197121350975,3
0,8,8.961255137749205,3
0,9,9.314969655106994,3
0,10,7.731019432874012,3
0,11,5.962528933699316,3
0,12,4.501810981926871,3
0,13,9.733610036953252,3
0,14,5.2921610664930325,3
0,15,3.8798199594883784,3
0,16,4.378131579362973,3
0,17,5.7101087014185365,3
0,18,1.789594165001082,3
0,19,2.075631953289487,3
0,20,1.921970245676703,3
0,21,1.768308538063919,3
0,22,1.6146468304511352,3
0,23,1.4609851228383515,3
0,24,1.3073234152255675,3
0,25,1.1536617076127837,3
0,26,1.0,3
1,0,46.02337175874742,3
1,1,24.919707971501456,3
1,2,23.718828835353673,3
1,3,23.569447204466403,3
1,4,23.100641560397104,3
1,5,22.279962427321742,3
1,6,16.03871354012484,3
1,7,14.397682796108278,3
1,8,14.497408170953578,3
1,9,10.14778619146176,3
1,10,9.169499898850347,3
1,11,8.529228828535528,3
1,12,8.336068660755735,3
1,13,8.96862027211262,3
1,14,7.466239722766654,3
1,15,5.802527411732881,3
1,16,5.173431832004965,3
1,17,5.169888395045054,3
1,18,3.872748814883014,3
1,19,3.8356029597415655,3
1,20,3.0548140271781015,3
1,21,3.5166691223969035,3
1,22,2.2398514895734873,3
1,23,1.6814150916202775,3
1,24,1.4570148852507872,3
1,25,1.2285074426253935,3
1,26,1.0,3
2,0,7.029624438900982,2
2,1,6.466832818649055,2
2,2,8.043517107382758,2
2,3,6.632093250041067,2
2,4,6.674525625850861,2
2,5,6.601394524079176,2
2,6,6.73108959847414,2
2,7,7.6817327267447935,2
2,8,6.412480195797954,2
2,9,6.537842333763621,2
2,10,7.379413157076094,2
2,11,7.223923570273689,2
2,12,8.278699690264277,2
2,13,6.487195354275989,2
2,14,8.514434762473286,2
2,15,7.414215901701378,2
2,16,6.634559706387776,2
2,17,6.531775025878231,2
2,18,7.515477004535892,2
2,19,8.126981009219758,2
2,20,7.484015637477785,2
2,21,6.406915541072781,2
2,22,6.508499375257084,2
2,23,6.471170890270183,2
2,24,6.705526924875714,2
2,25,8.02110654134229,2
2,26,7.463694560711216,2
3,0,5.453102135363139,2
3,1,4.814963228556268,2
3,2,5.114299499529563,2
3,3,4.87976134909672,2
3,4,4.81146627827091,2
3,5,5.924360386605144,2
3,6,4.842493997368033,2
3,7,5.157195767819318,2
3,8,5.367677033776226,2
3,9,4.919615612455509,2
3,10,5.703587457964539,2
3,11,4.916596978269665,2
3,12,5.024154922165763,2
3,13,9.472058229957476,2
3,14,4.834585738236536,2
3,15,4.892284225521164,2
3,16,4.830163583980727,2
3,17,6.011551107968195,2
3,18,4.898260453196791,2
3,19,6.094647136524237,2
3,20,5.13515553421283,2
3,21,6.397924928266265,2
3,22,4.961423880207136,2
3,23,5.860141933782423,2
3,24,5.931536431309765,2
3,25,5.412061421824924,2
3,26,6.2913278340317405,2
4,0,2.211199832732262,1
4,1,2.017775585270321,1
4,2,1.9058283149696824,1
4,3,3.0552942998706674,1
4,4,3.1465560394006764,1
4,5,5.7000382201707245,1
4,6,4.377541497312732,1
4,7,6.593802406967155,1
4,8,5.449673520704367,1
4,9,7.123006992107194,1
4,10,6.048850334220099,1
4,11,7.659782190177431,1
4,12,6.841624909647102,1
4,13,8.71627544770164,1
4,14,8.416225162856321,1
4,15,9.196498451338986,1
4,16,10.6985873831398,1
4,17,11.072718227661491,1
4,18,10.779305509427001,1
4,19,12.804440576329046,1
4,20,12.956409933557552,1
4,21,17.31457280370904,1
4,22,22.11922497313492,1
4,23,16.83941872985119,1
4,24,11.55961248656746,1
4,25,6.27980624328373,1
4,26,1.0,1
5,0,9.172941268345603,2
5,1,8.29371224796768,2
5,2,7.724539857456344,2
5,3,8.127953064621384,2
5,4,8.043768556021089,2
5,5,8.56386586875059,2
5,6,8.148769510493821,2
5,7,7.759866601232397,2
5,8,7.985970166296746,2
5,9,7.726028756414085,2
5,10,7.982259830209848,2
5,11,8.783131428375693,2
5,12,7.721218917420266,2
5,13,8.138773513405926,2
5,14,8.517466582228295,2
5,15,9.167540572154847,2
5,16,9.378510846865582,2
5,17,7.936528405953099,2
5,18,8.612956750721565,2
5,19,7.837265677754305,2
5,20,9.035581007002154,2
5,21,8.202832280651311,2
5,22,8.055423939521576,2
5,23,8.238512527951606,2
5,24,9.80693583596733,2
5,25,7.88904655135933,2
5,26,8.202589228109733,2
6,0,1.0,1
6,1,2.113649833766932,1
6,2,1.8306901906992241,1
6,3,1.964121764949084,1
6,4,2.1304145992844354,1
6,5,3.3250668834879398,1
6,6,5.23847833548606,1
6,7,5.430516561995933,1
6,8,4.281862841164051,1
6,9,4.630386612931929,1
6,10,7.993075071980312,1
6,11,7.119091380874792,1
6,12,8.142002863226818,1
6,13,8.197758435846271,1
6,14,10.769695943971316,1
6,15,12.66553902955874,1
6,16,13.949252301260941,1
6,17,14.499633757280312,1
6,18,15.269984773931608,1
6,19,15.702706514094794,1
6,20,20.489422382207284,1
6,21,26.89348572061277,1
6,22,30.15669907600438,1
6,23,33.989238841974334,1
