user_id,template_id,assistment_id,order_id,problem_id,skill_name,correct,ms_first_response,attempt_count,hint_count,hint_total
70733,30060,33175,35278766,51460,Box and Whisker,0,9575,2,0,4
70733,30060,33182,35278780,51467,Box and Whisker,1,6422,1,0,4
70733,30059,33107,35278789,51392,Box and Whisker,0,11365,3,0,3
70733,30060,33187,35278802,51472,Box and Whisker,1,4412,1,0,4
70733,30059,33111,35278810,51396,Box and Whisker,1,6902,1,0,3
70872,30059,33136,32268742,51421,Box and Whisker,1,7281,1,0,3
70872,30799,33144,32268764,51429,Box and Whisker,1,7234,1,0,3
72059,30799,33155,33409110,51440,Box and Whisker,0,38290,2,0,3
72059,30060,33181,33409165,51466,Box and Whisker,0,8366,4,0,4
72059,30060,33168,33409366,51453,Box and Whisker,1,9661,1,0,4
72059,30060,33175,33409387,51460,Box and Whisker,1,17925,1,0,4
72059,30060,33176,33409424,51461,Box and Whisker,0,6856,2,0,4
72059,30059,33113,33508059,51398,Box and Whisker,1,6596,1,0,3
72059,30060,33184,33508071,51469,Box and Whisker,1,16417,1,0,4
79748,30059,33124,33533564,51409,Box and Whisker,1,97748,1,0,3
79748,30059,33132,33533624,51417,Box and Whisker,1,6227,1,0,3
79750,30059,33124,33619267,51409,Box and Whisker,0,27062,1,1,3
79750,30799,33150,33619356,51435,Box and Whisker,1,7016,1,0,3
79750,30799,33145,33619372,51430,Box and Whisker,1,10922,1,0,3
79750,30059,33127,33619410,51412,Box and Whisker,1,7046,1,0,3
79769,30799,33148,33539574,51433,Box and Whisker,0,49387,1,1,3
79769,30799,33155,33539633,51440,Box and Whisker,1,18256,1,0,3
79769,30060,33177,33539648,51462,Box and Whisker,0,5203,1,2,4
79769,30060,33186,33539703,51471,Box and Whisker,1,17415,1,0,4
79769,30799,33160,33539726,51445,Box and Whisker,1,9566,1,0,3
79769,30799,33152,33548897,51437,Box and Whisker,1,7106,1,0,3
81641,30059,33118,35529046,51403,Box and Whisker,1,32156,1,0,3
81641,30060,33196,35532284,51481,Box and Whisker,0,45812,2,0,4
81641,30799,33151,35532551,51436,Box and Whisker,0,82328,4,3,3
81641,30060,33182,35532956,51467,Box and Whisker,1,15594,1,0,4
81641,30059,33115,35533009,51400,Box and Whisker,0,31375,2,0,3
82482,30059,33128,35398604,51413,Box and Whisker,1,24526,1,0,3
82482,30059,33121,35398836,51406,Box and Whisker,1,16408,1,0,3
82482,30059,33129,35399161,51414,Box and Whisker,1,13864,1,0,3
82482,30059,33119,35399300,51404,Box and Whisker,1,11951,1,0,3
82482,30059,33123,35399491,51408,Box and Whisker,1,14082,1,0,3
82482,30059,33136,35399643,51421,Box and Whisker,1,7519,1,0,3
82482,30060,33180,35399819,51465,Box and Whisker,0,16720,5,0,4
82482,30060,33174,35401882,51459,Box and Whisker,1,16591,1,0,4
82482,30060,33179,35402013,51464,Box and Whisker,1,48242,1,0,4
82482,30060,33184,35402381,51469,Box and Whisker,1,26279,1,0,4
82482,30799,33142,35402781,51427,Box and Whisker,1,79992,1,0,3
82533,30059,33114,35395510,51399,Box and Whisker,1,14569,1,0,3
82533,30059,33111,35395560,51396,Box and Whisker,1,7695,1,0,3
82533,30059,33136,35395627,51421,Box and Whisker,1,24630,1,0,3
82533,30059,33120,35395728,51405,Box and Whisker,1,5047,1,0,3
82533,30059,33107,35395810,51392,Box and Whisker,1,11804,1,0,3
82533,30059,33136,35395900,51421,Box and Whisker,1,9191,1,0,3
82533,30060,33178,35396000,51463,Box and Whisker,1,11315,1,0,4
82533,30799,33148,35396413,51433,Box and Whisker,1,5586,1,0,3
83169,30799,33146,32285016,51431,Box and Whisker,1,9079,1,0,3
